time,open,high,low,close,volume
2022-09-30 16:00:00,19752.72,21070.57,18190.07,20401.75,215274.9937
2022-10-31 16:00:00,20401.75,21473.18,15493.68,16865.66,503847.746
2022-11-30 16:00:00,16865.66,18368.42,16274.54,16590.7,432026.4308
2022-12-31 16:00:00,16590.7,23955.95,16475.23,23121.05,385666.1516
2023-01-31 16:00:00,23121.05,25250.88,21356.68,23519.88,428537.543
2023-02-28 16:00:00,23519.88,29176.36,19568.63,28493.48,408805.3131
2023-03-31 16:00:00,28493.48,30992.36,26969.42,29658.52,189603.6962
2023-04-30 16:00:00,29658.52,29863.88,25818.28,26911.02,203612.3623
2023-05-31 16:00:00,26911.02,31410.29,24807.69,30068.02,299732.944
2023-06-30 16:00:00,30068.02,31809.0,28869.97,29245.96,207004.1183
2023-07-31 16:00:00,29245.96,30218.63,24635.0,26921.68,127154.0237
2023-08-31 16:00:00,26921.68,27480.0,24908.59,26996.03,168456.3054
2023-09-30 16:00:00,26996.03,35263.21,26537.69,34272.1,252777.8068
2023-10-31 16:00:00,34272.1,38450.0,34081.09,37614.58,363352.6376
2023-11-30 16:00:00,37614.58,44710.09,37535.04,42457.43,259904.1954
2023-12-31 16:00:00,42457.43,48965.33,38558.58,43361.04,274303.279
2024-01-31 16:00:00,43361.04,64045.64,41887.18,62767.98,299300.195087
2024-02-29 16:00:00,62767.98,73775.9,59130.0,70382.55,499243.207588
2024-03-31 16:00:00,70382.55,72788.2,59605.0,60791.91,374234.424494
2024-04-30 16:00:00,60791.91,71963.0,56571.0,67212.7,214270.12168
2024-05-31 16:00:00,67212.7,71990.0,58484.81,61719.99,131010.147485
2024-06-30 16:00:00,61719.99,70067.52,53547.01,66393.28,126071.107182
2024-07-31 16:00:00,66393.28,66820.72,49031.91,58978.74,155933.957279
2024-08-31 16:00:00,58978.74,66404.34,52590.35,63575.97,121921.662441
2024-09-30 16:00:00,63575.97,73600.1,59000.0,70613.19,113657.663311
2024-10-31 16:00:00,70613.19,99518.37,66859.0,96624.0,109528.001835
2024-11-30 16:00:00,96624.0,108351.99,90790.7,95408.0,307938.348079
2024-12-31 16:00:00,95408.0,109599.0,89268.48,105379.45,175570.296599
2025-01-31 16:00:00,105379.45,105512.27,78291.78,84009.29,132105.095755
2025-02-28 16:00:00,84009.29,95000.0,76651.0,83395.52,230543.402553
2025-03-31 16:00:00,83395.52,95739.13,74522.27,94009.16,292695.110492
2025-04-30 16:00:00,94009.16,111958.32,93399.12,104536.94,264353.789193
2025-05-31 16:00:00,104536.94,110500.0,98200.0,107593.98,149011.9051073407
2025-06-30 16:00:00,107593.98,123214.52,105121.0,118306.62,270300.9922742195
2025-07-31 16:00:00,118306.62,124496.45,107355.13,108812.39,269905.7391339798
2025-08-31 16:00:00,108812.39,117907.37,107254.53,113110.86,206759.4544948705
2025-09-30 16:00:00,113110.86,126200.0,102173.61,110200.02,280956.9786599076
2025-10-31 16:00:00,110200.02,111240.61,80650.0,90800.0,173897.385786
